One_of_top_3_CPC_for_PC,CPC Description,Device Type (PC) Description,PRODUCTCODE
A61F13/42,"HUMAN NECESSITIES-- HEALTH; AMUSEMENT; MEDICAL OR VETERINARY SCIENCE; HYGIENE-- FILTERS IMPLANTABLE INTO BLOOD VESSELS; PROSTHESES; DEVICES PROVIDING PATENCY TO, OR PREVENTING COLLAPSING OF, TUBULAR STRUCTURES OF THE BODY, e.g. STENTS; ORTHOPAEDIC, NURSING OR CONTRACEPTIVE DEVICES; FOMENTATION; TREATMENT OR PROTECTION OF EYES OR EARS; BANDAGES, DRESSINGS OR ABSORBENT PADS; FIRST-AID KITS (dental prosthetics A61C)-- Bandages, dressings or absorbent pads; First-aid kits; Bandages or dressings (suspensory bandages A61F5/40; {contact-avoiding wound protectors A61F15/008; bandages or dressings with incorporated medicaments A61L15/44, A61M35/006; radioactive dressings A61N5/1029}); Absorbent pads (chemical aspects of, or use of materials for, bandages, dressings or absorbent pads A61L15/00; {absorbent pads for tracheostomy A61M16/047})-- .Absorbent pads, e.g. sanitary towels, swabs or tampons for external or internal application to the body (non-absorbent catamenial receptacles A61F5/44); Supporting or fastening means therefor; Tampon applicators-- ..with wetness indicator or alarm","Enuresis alarm. --Alarm, Conditioned Response Enuresis",KPN
A61F5/48,"HUMAN NECESSITIES-- HEALTH; AMUSEMENT; MEDICAL OR VETERINARY SCIENCE; HYGIENE-- FILTERS IMPLANTABLE INTO BLOOD VESSELS; PROSTHESES; DEVICES PROVIDING PATENCY TO, OR PREVENTING COLLAPSING OF, TUBULAR STRUCTURES OF THE BODY, e.g. STENTS; ORTHOPAEDIC, NURSING OR CONTRACEPTIVE DEVICES; FOMENTATION; TREATMENT OR PROTECTION OF EYES OR EARS; BANDAGES, DRESSINGS OR ABSORBENT PADS; FIRST-AID KITS (dental prosthetics A61C)-- Orthopaedic methods or devices for non-surgical treatment of bones or joints (surgical instruments or methods for treatment of bones or joints, devices specially adapted therefor A61B17/56); Nursing devices; {Anti-rape devices}(bandages, dressings or absorbent pads A61F13/00)-- .Devices for preventing wetting or pollution of the bed","Enuresis alarm. --Alarm, Conditioned Response Enuresis",KPN
A61B5/6892,"HUMAN NECESSITIES-- HEALTH; AMUSEMENT; MEDICAL OR VETERINARY SCIENCE; HYGIENE-- DIAGNOSIS; SURGERY; IDENTIFICATION (analysing biological material G01N, e.g. G01N33/48; obtaining records using waves other than optical waves, in general G03B42/00)-- Diagnosis; Psycho-physical tests; Instruments for performing medical examinations of the interior of cavities or tubes of the body by visual or photographical inspection, e.g. endoscopes (examination of body cavities or body tracts using ultrasonic, sonic or infrasonic waves A61B8/12; endoscopic instruments for taking cell samples or for biopsy A61B10/04; for surgical purposes A61B17/00; endoscopic surgical {cutting};  instruments {A61B17/32}; ; surgical instruments using a laser beam being directed along or through a flexible conduit A61B18/22); Illuminating arrangements therefor (for the eyes A61B3/00)-- Measuring for diagnostic purposes (radiation diagnosis A61B6/00; diagnosis by ultrasonic, sonic or infrasonic waves A61B8/00); Identification of persons-- .Arrangements of detecting, measuring or recording means, e.g. sensors, in relation to patient-- ..mounted on external non-worn devices, e.g. non-medical devices-- ...Mats","Enuresis alarm. --Alarm, Conditioned Response Enuresis",KPN
A61B1/267,"HUMAN NECESSITIES-- HEALTH; AMUSEMENT; MEDICAL OR VETERINARY SCIENCE; HYGIENE-- DIAGNOSIS; SURGERY; IDENTIFICATION (analysing biological material G01N, e.g. G01N33/48; obtaining records using waves other than optical waves, in general G03B42/00)-- Diagnosis; Psycho-physical tests; Instruments for performing medical examinations of the interior of cavities or tubes of the body by visual or photographical inspection, e.g. endoscopes (examination of body cavities or body tracts using ultrasonic, sonic or infrasonic waves A61B8/12; endoscopic instruments for taking cell samples or for biopsy A61B10/04; for surgical purposes A61B17/00; endoscopic surgical {cutting};  instruments {A61B17/32}; ; surgical instruments using a laser beam being directed along or through a flexible conduit A61B18/22); Illuminating arrangements therefor (for the eyes A61B3/00)-- .for the respiratory tract, e.g. laryngoscopes, bronchoscopes","Flexible laryngoscope. --Laryngoscope, Non-Rigid",CAL
A61B17/3421,"HUMAN NECESSITIES-- HEALTH; AMUSEMENT; MEDICAL OR VETERINARY SCIENCE; HYGIENE-- DIAGNOSIS; SURGERY; IDENTIFICATION (analysing biological material G01N, e.g. G01N33/48; obtaining records using waves other than optical waves, in general G03B42/00)-- Surgery; Surgical instruments, devices or methods, e.g. tourniquets (A61B18/00 takes precedence; contraceptive devices, pessaries, or applicators therefor A61F6/00; eye surgery A61F9/007; ear surgery A61F11/00)-- .Trocars; Puncturing needles {pointed biopsy instruments A61B10/0233; devices for piercing the ear-lobes A44C7/001; seals or hemostasis valves A61M39/06}-- ..Details of tips or shafts, e.g. grooves, expandable, bendable; Multiple coaxial sliding cannulas, e.g. for dilating (syringe needles A61M5/32; dilators A61M29/00)-- ...Cannulas","Flexible laryngoscope. --Laryngoscope, Non-Rigid",CAL
A61B1/07,"HUMAN NECESSITIES-- HEALTH; AMUSEMENT; MEDICAL OR VETERINARY SCIENCE; HYGIENE-- DIAGNOSIS; SURGERY; IDENTIFICATION (analysing biological material G01N, e.g. G01N33/48; obtaining records using waves other than optical waves, in general G03B42/00)-- Diagnosis; Psycho-physical tests; Instruments for performing medical examinations of the interior of cavities or tubes of the body by visual or photographical inspection, e.g. endoscopes (examination of body cavities or body tracts using ultrasonic, sonic or infrasonic waves A61B8/12; endoscopic instruments for taking cell samples or for biopsy A61B10/04; for surgical purposes A61B17/00; endoscopic surgical {cutting};  instruments {A61B17/32}; ; surgical instruments using a laser beam being directed along or through a flexible conduit A61B18/22); Illuminating arrangements therefor (for the eyes A61B3/00)-- .with illuminating arrangements-- ..using light-conductive means, e.g. optical fibres","Flexible laryngoscope. --Laryngoscope, Non-Rigid",CAL
A61B17/22,"HUMAN NECESSITIES-- HEALTH; AMUSEMENT; MEDICAL OR VETERINARY SCIENCE; HYGIENE-- DIAGNOSIS; SURGERY; IDENTIFICATION (analysing biological material G01N, e.g. G01N33/48; obtaining records using waves other than optical waves, in general G03B42/00)-- Surgery; Surgical instruments, devices or methods, e.g. tourniquets (A61B18/00 takes precedence; contraceptive devices, pessaries, or applicators therefor A61F6/00; eye surgery A61F9/007; ear surgery A61F11/00)-- .Implements for squeezing-off ulcers or the like on {the inside of};  inner organs of the body; Implements for scraping-out cavities of body organs, e.g. bones; Calculus removers; Calculus smashing apparatus; {Apparatus for removing obstructions in blood vessels, not otherwise provided for (dilators A61M29/00)}","Vacuum-powered body fluid suction apparatus. --Tube, Aspirating, Flexible, Connecting",BYY
A61M1/0058,"HUMAN NECESSITIES-- HEALTH; AMUSEMENT; MEDICAL OR VETERINARY SCIENCE; HYGIENE-- DEVICES FOR INTRODUCING MEDIA INTO, OR ONTO, THE BODY (introducing media into or onto the bodies of animals A61D7/00; means for inserting tampons A61F13/26; devices for administering food or medicines orally A61J; containers for collecting, storing or administering blood or medical fluids A61J1/05); DEVICES FOR TRANSDUCING BODY MEDIA OR FOR TAKING MEDIA FROM THE BODY (surgery A61B; chemical aspects of surgical articles A61L); DEVICES FOR PRODUCING OR ENDING SLEEP OR STUPOR {Electrotherapy, e.g. producing anaesthesia by the use of alternating or intermittent currents A61N1/36021}-- Suction or pumping devices for medical purposes; Devices for carrying-off, for treatment of, or for carrying-over, body-liquids; Drainage systems (catheters A61M25/00; tube connectors, tube couplings, valves or branch units specially adapted for medical use A61M39/00; devices for taking samples of blood A61B5/15; filters implantable into blood vessels A61F2/01)-- .Suction-irrigation systems (aspiration tips supplying fluids A61M1/85; combined with tracheal tubes A61M16/0463)","Vacuum-powered body fluid suction apparatus. --Tube, Aspirating, Flexible, Connecting",BYY
A61M1/84,"HUMAN NECESSITIES-- HEALTH; AMUSEMENT; MEDICAL OR VETERINARY SCIENCE; HYGIENE-- DEVICES FOR INTRODUCING MEDIA INTO, OR ONTO, THE BODY (introducing media into or onto the bodies of animals A61D7/00; means for inserting tampons A61F13/26; devices for administering food or medicines orally A61J; containers for collecting, storing or administering blood or medical fluids A61J1/05); DEVICES FOR TRANSDUCING BODY MEDIA OR FOR TAKING MEDIA FROM THE BODY (surgery A61B; chemical aspects of surgical articles A61L); DEVICES FOR PRODUCING OR ENDING SLEEP OR STUPOR {Electrotherapy, e.g. producing anaesthesia by the use of alternating or intermittent currents A61N1/36021}-- Suction or pumping devices for medical purposes; Devices for carrying-off, for treatment of, or for carrying-over, body-liquids; Drainage systems (catheters A61M25/00; tube connectors, tube couplings, valves or branch units specially adapted for medical use A61M39/00; devices for taking samples of blood A61B5/15; filters implantable into blood vessels A61F2/01)-- .Drainage tubes; Aspiration tips (for negative pressure wound therapy A61M1/90; for surgical cutting instruments A61B17/32)","Vacuum-powered body fluid suction apparatus. --Tube, Aspirating, Flexible, Connecting",BYY
A61Q19/00,HUMAN NECESSITIES-- HEALTH; AMUSEMENT; MEDICAL OR VETERINARY SCIENCE; HYGIENE-- SPECIFIC USE OF COSMETICS OR SIMILAR TOILET PREPARATIONS-- Preparations for care of the skin,"Heat and moisture condenser (artificial nose). --Condenser, Heat And Moisture (Artificial Nose)",BYD
A61L15/60,"HUMAN NECESSITIES-- HEALTH; AMUSEMENT; MEDICAL OR VETERINARY SCIENCE; HYGIENE-- METHODS OR APPARATUS FOR STERILISING MATERIALS OR OBJECTS IN GENERAL; DISINFECTION, STERILISATION, OR DEODORISATION OF AIR; CHEMICAL ASPECTS OF BANDAGES, DRESSINGS, ABSORBENT PADS, OR SURGICAL ARTICLES; MATERIALS FOR BANDAGES, DRESSINGS, ABSORBENT PADS, OR SURGICAL ARTICLES (preservation of bodies or disinfecting characterised by the agent employed A01N; preserving, e.g. sterilising, food or foodstuffs A23; preparations for medical, dental or toilet purposes A61K; preparation of ozone C01B13/10)-- Chemical aspects of, or use of materials for, bandages, dressings or absorbent pads {comprising a solid support or backing}(for liquid bandages A61L26/00; radioactive dressings {A61N5/1029}{transdermal delivery devices A61K9/7023}); Chemical aspects of, or use of materials for, bandages, dressings or absorbent pads (for liquid bandages A61L26/00; radioactive dressings {A61N5/1029})-- .Bandages, dressings or absorbent pads for physiological fluids such as urine or blood, e.g. sanitary towels, tampons-- ..Use of materials characterised by their function or physical properties (liquid bandages A61L26/00)-- ...Liquid-swellable gel-forming materials, e.g. super-absorbents","Heat and moisture condenser (artificial nose). --Condenser, Heat And Moisture (Artificial Nose)",BYD
A61K6/887,"HUMAN NECESSITIES-- HEALTH; AMUSEMENT; MEDICAL OR VETERINARY SCIENCE; HYGIENE-- PREPARATIONS FOR MEDICAL, DENTAL, OR TOILET PURPOSES (devices or methods specially adapted for bringing pharmaceutical products into particular physical or administering forms A61J3/00; chemical aspects of, or use of materials for deodorisation of air, for disinfection or sterilisation, or for bandages, dressings, absorbent pads or surgical articles A61L; soap compositions C11D)-- Preparations for dentistry-- .Preparations for artificial teeth, for filling teeth or for capping teeth-- ..comprising natural or synthetic resins-- ...Compounds obtained by reactions only involving carbon-to-carbon unsaturated bonds","Heat and moisture condenser (artificial nose). --Condenser, Heat And Moisture (Artificial Nose)",BYD
A61K6/35,"HUMAN NECESSITIES-- HEALTH; AMUSEMENT; MEDICAL OR VETERINARY SCIENCE; HYGIENE-- PREPARATIONS FOR MEDICAL, DENTAL, OR TOILET PURPOSES (devices or methods specially adapted for bringing pharmaceutical products into particular physical or administering forms A61J3/00; chemical aspects of, or use of materials for deodorisation of air, for disinfection or sterilisation, or for bandages, dressings, absorbent pads or surgical articles A61L; soap compositions C11D)-- Preparations for dentistry-- .Compositions for temporarily or permanently fixing teeth or palates, e.g. primers for dental adhesives-- ..Preparations for stabilising dentures in the mouth","Paper chart recorder. --Recorder, Paper Chart",DSF
A61B5/333,"HUMAN NECESSITIES-- HEALTH; AMUSEMENT; MEDICAL OR VETERINARY SCIENCE; HYGIENE-- DIAGNOSIS; SURGERY; IDENTIFICATION (analysing biological material G01N, e.g. G01N33/48; obtaining records using waves other than optical waves, in general G03B42/00)-- Diagnosis; Psycho-physical tests; Instruments for performing medical examinations of the interior of cavities or tubes of the body by visual or photographical inspection, e.g. endoscopes (examination of body cavities or body tracts using ultrasonic, sonic or infrasonic waves A61B8/12; endoscopic instruments for taking cell samples or for biopsy A61B10/04; for surgical purposes A61B17/00; endoscopic surgical {cutting};  instruments {A61B17/32}; ; surgical instruments using a laser beam being directed along or through a flexible conduit A61B18/22); Illuminating arrangements therefor (for the eyes A61B3/00)-- Measuring for diagnostic purposes (radiation diagnosis A61B6/00; diagnosis by ultrasonic, sonic or infrasonic waves A61B8/00); Identification of persons-- .Detecting, measuring or recording bioelectric or biomagnetic signals of the body or parts thereof-- ..Modalities, i.e. specific diagnostic methods-- ...Heart-related electrical modalities, e.g. electrocardiography [ECG]-- ....Recording apparatus specially adapted therefor","Paper chart recorder. --Recorder, Paper Chart",DSF
A61F13/15203,"HUMAN NECESSITIES-- HEALTH; AMUSEMENT; MEDICAL OR VETERINARY SCIENCE; HYGIENE-- FILTERS IMPLANTABLE INTO BLOOD VESSELS; PROSTHESES; DEVICES PROVIDING PATENCY TO, OR PREVENTING COLLAPSING OF, TUBULAR STRUCTURES OF THE BODY, e.g. STENTS; ORTHOPAEDIC, NURSING OR CONTRACEPTIVE DEVICES; FOMENTATION; TREATMENT OR PROTECTION OF EYES OR EARS; BANDAGES, DRESSINGS OR ABSORBENT PADS; FIRST-AID KITS (dental prosthetics A61C)-- Bandages, dressings or absorbent pads; First-aid kits; Bandages or dressings (suspensory bandages A61F5/40; {contact-avoiding wound protectors A61F15/008; bandages or dressings with incorporated medicaments A61L15/44, A61M35/006; radioactive dressings A61N5/1029}); Absorbent pads (chemical aspects of, or use of materials for, bandages, dressings or absorbent pads A61L15/00; {absorbent pads for tracheostomy A61M16/047})-- .Absorbent pads, e.g. sanitary towels, swabs or tampons for external or internal application to the body (non-absorbent catamenial receptacles A61F5/44); Supporting or fastening means therefor; Tampon applicators-- ..Properties of the article, e.g. stiffness or absorbency (chemical aspects A61L15/00)","Paper chart recorder. --Recorder, Paper Chart",DSF
